file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes,size_category,analysis_status,error_message
1,001_getid3.lib.php,llm_generated/Rector_Baseline/001_getid3.lib.php,1342,43.2,0,False,extra_large,success,
2,002_module.audio-video.asf.php,llm_generated/Rector_Baseline/002_module.audio-video.asf.php,2019,127.2,2,True,extra_large,success,
3,003_wp-db.php,llm_generated/Rector_Baseline/003_wp-db.php,2148,57.4,0,False,extra_large,success,
4,004_class-IXR.php,llm_generated/Rector_Baseline/004_class-IXR.php,1088,31.9,0,False,extra_large,success,
5,005_class-snoopy.php,llm_generated/Rector_Baseline/005_class-snoopy.php,1250,37.7,1,True,extra_large,success,
6,006_widgets.php,llm_generated/Rector_Baseline/006_widgets.php,1512,45.5,0,False,extra_large,success,
7,007_class-wp.php,llm_generated/Rector_Baseline/007_class-wp.php,774,22.4,0,False,large,success,
8,008_wp-login.php,llm_generated/Rector_Baseline/008_wp-login.php,952,29.3,0,False,large,success,
9,009_getid3.php,llm_generated/Rector_Baseline/009_getid3.php,1776,60.9,0,False,extra_large,success,
10,010_class-wp-theme.php,llm_generated/Rector_Baseline/010_class-wp-theme.php,1189,37.4,0,False,extra_large,success,
11,011_translations.php,llm_generated/Rector_Baseline/011_translations.php,278,7.3,0,False,medium,success,
12,012_module.audio-video.riff.php,llm_generated/Rector_Baseline/012_module.audio-video.riff.php,2421,109.0,1,True,extra_large,success,
13,013_file.php,llm_generated/Rector_Baseline/013_file.php,1146,40.8,1,True,extra_large,success,
14,014_module.tag.id3v2.php,llm_generated/Rector_Baseline/014_module.tag.id3v2.php,3390,133.2,1,True,extra_large,success,
15,015_Diff.php,llm_generated/Rector_Baseline/015_Diff.php,452,11.6,0,False,medium,success,
16,016_module.audio.ac3.php,llm_generated/Rector_Baseline/016_module.audio.ac3.php,465,17.9,0,False,medium,success,
17,017_press-this.php,llm_generated/Rector_Baseline/017_press-this.php,691,25.5,0,False,large,success,
18,018_streams.php,llm_generated/Rector_Baseline/018_streams.php,205,4.3,0,False,medium,success,
19,019_atomlib.php,llm_generated/Rector_Baseline/019_atomlib.php,358,10.7,1,True,medium,success,
20,020_class-ftp.php,llm_generated/Rector_Baseline/020_class-ftp.php,907,26.6,4,True,large,success,
21,021_class-pop3.php,llm_generated/Rector_Baseline/021_class-pop3.php,652,20.4,0,False,large,success,
22,022_class-wp-customize-setting.php,llm_generated/Rector_Baseline/022_class-wp-customize-setting.php,542,13.3,0,False,large,success,
23,023_module.tag.id3v1.php,llm_generated/Rector_Baseline/023_module.tag.id3v1.php,354,11.4,1,True,medium,success,
24,024_edit-form-advanced.php,llm_generated/Rector_Baseline/024_edit-form-advanced.php,636,20.1,0,False,large,success,
25,025_widgets.php,llm_generated/Rector_Baseline/025_widgets.php,442,12.2,0,False,medium,success,
26,026_Source.php,llm_generated/Rector_Baseline/026_Source.php,607,19.9,0,False,large,success,
27,027_upload.php,llm_generated/Rector_Baseline/027_upload.php,292,8.4,0,False,medium,success,
28,028_themes.php,llm_generated/Rector_Baseline/028_themes.php,266,9.1,0,False,medium,success,
29,029_module.audio.ogg.php,llm_generated/Rector_Baseline/029_module.audio.ogg.php,671,30.0,0,False,large,success,
30,030_class-json.php,llm_generated/Rector_Baseline/030_class-json.php,922,38.7,3,True,large,success,
31,031_class-wp-plugins-list-table.php,llm_generated/Rector_Baseline/031_class-wp-plugins-list-table.php,605,22.3,0,False,large,success,
32,032_class-wp-comments-list-table.php,llm_generated/Rector_Baseline/032_class-wp-comments-list-table.php,635,20.6,0,False,large,success,
33,033_ms-settings.php,llm_generated/Rector_Baseline/033_ms-settings.php,213,8.4,0,False,medium,success,
34,034_inline.php,llm_generated/Rector_Baseline/034_inline.php,206,5.4,0,False,medium,success,
35,035_wp-trackback.php,llm_generated/Rector_Baseline/035_wp-trackback.php,127,3.8,0,False,small,success,
36,036_module.tag.apetag.php,llm_generated/Rector_Baseline/036_module.tag.apetag.php,370,15.7,0,False,medium,success,
37,037_class-wp-ms-sites-list-table.php,llm_generated/Rector_Baseline/037_class-wp-ms-sites-list-table.php,402,14.0,0,False,medium,success,
