file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes,size_category,analysis_status,error_message
1,001_getid3.lib.php,llm_generated/claude_sonnet_4_20250514/001_getid3.lib.php,1337,43.5,7,True,extra_large,success,
2,002_module.audio-video.asf.php,llm_generated/claude_sonnet_4_20250514/002_module.audio-video.asf.php,2014,127.7,10,True,extra_large,success,
3,003_wp-db.php,llm_generated/claude_sonnet_4_20250514/003_wp-db.php,2200,62.4,9,True,extra_large,success,
4,004_class-IXR.php,llm_generated/claude_sonnet_4_20250514/004_class-IXR.php,1089,34.1,6,True,extra_large,success,
5,005_class-snoopy.php,llm_generated/claude_sonnet_4_20250514/005_class-snoopy.php,1252,38.3,4,True,extra_large,success,
6,006_widgets.php,llm_generated/claude_sonnet_4_20250514/006_widgets.php,1526,48.5,6,True,extra_large,success,
7,007_class-wp.php,llm_generated/claude_sonnet_4_20250514/007_class-wp.php,819,24.0,5,True,large,success,
8,008_wp-login.php,llm_generated/claude_sonnet_4_20250514/008_wp-login.php,953,33.2,3,True,large,success,
9,009_getid3.php,llm_generated/claude_sonnet_4_20250514/009_getid3.php,1753,62.2,4,True,extra_large,success,
10,010_class-wp-theme.php,llm_generated/claude_sonnet_4_20250514/010_class-wp-theme.php,1236,39.7,5,True,extra_large,success,
11,011_translations.php,llm_generated/claude_sonnet_4_20250514/011_translations.php,289,9.7,2,True,medium,success,
12,012_module.audio-video.riff.php,llm_generated/claude_sonnet_4_20250514/012_module.audio-video.riff.php,2426,110.5,5,True,extra_large,success,
13,013_file.php,llm_generated/claude_sonnet_4_20250514/013_file.php,1223,45.5,5,True,extra_large,success,
14,014_module.tag.id3v2.php,llm_generated/claude_sonnet_4_20250514/014_module.tag.id3v2.php,3395,133.6,8,True,extra_large,success,
15,015_Diff.php,llm_generated/claude_sonnet_4_20250514/015_Diff.php,425,12.1,1,True,medium,success,
16,016_module.audio.ac3.php,llm_generated/claude_sonnet_4_20250514/016_module.audio.ac3.php,469,20.8,3,True,medium,success,
17,017_press-this.php,llm_generated/claude_sonnet_4_20250514/017_press-this.php,690,26.6,4,True,large,success,
18,018_streams.php,llm_generated/claude_sonnet_4_20250514/018_streams.php,208,5.5,3,True,medium,success,
19,019_atomlib.php,llm_generated/claude_sonnet_4_20250514/019_atomlib.php,346,11.3,3,True,medium,success,
20,020_class-ftp.php,llm_generated/claude_sonnet_4_20250514/020_class-ftp.php,1027,29.1,4,True,large,success,
21,021_class-pop3.php,llm_generated/claude_sonnet_4_20250514/021_class-pop3.php,633,21.1,1,True,large,success,
22,022_class-wp-customize-setting.php,llm_generated/claude_sonnet_4_20250514/022_class-wp-customize-setting.php,582,15.1,5,True,large,success,
23,023_module.tag.id3v1.php,llm_generated/claude_sonnet_4_20250514/023_module.tag.id3v1.php,354,11.7,2,True,medium,success,
24,024_edit-form-advanced.php,llm_generated/claude_sonnet_4_20250514/024_edit-form-advanced.php,635,29.3,5,True,large,success,
25,025_widgets.php,llm_generated/claude_sonnet_4_20250514/025_widgets.php,459,16.9,1,True,medium,success,
26,026_Source.php,llm_generated/claude_sonnet_4_20250514/026_Source.php,566,20.3,3,True,large,success,
27,027_upload.php,llm_generated/claude_sonnet_4_20250514/027_upload.php,310,12.9,2,True,medium,success,
28,028_themes.php,llm_generated/claude_sonnet_4_20250514/028_themes.php,278,12.3,1,True,medium,success,
29,029_module.audio.ogg.php,llm_generated/claude_sonnet_4_20250514/029_module.audio.ogg.php,669,30.6,3,True,large,success,
30,030_class-json.php,llm_generated/claude_sonnet_4_20250514/030_class-json.php,935,39.8,8,True,large,success,
31,031_class-wp-plugins-list-table.php,llm_generated/claude_sonnet_4_20250514/031_class-wp-plugins-list-table.php,639,24.4,3,True,large,success,
32,032_class-wp-comments-list-table.php,llm_generated/claude_sonnet_4_20250514/032_class-wp-comments-list-table.php,641,22.5,5,True,large,success,
33,033_ms-settings.php,llm_generated/claude_sonnet_4_20250514/033_ms-settings.php,213,8.3,1,True,medium,success,
34,034_inline.php,llm_generated/claude_sonnet_4_20250514/034_inline.php,188,5.6,1,True,medium,success,
35,035_wp-trackback.php,llm_generated/claude_sonnet_4_20250514/035_wp-trackback.php,135,4.0,2,True,small,success,
36,036_module.tag.apetag.php,llm_generated/claude_sonnet_4_20250514/036_module.tag.apetag.php,341,16.2,1,True,medium,success,
37,037_class-wp-ms-sites-list-table.php,llm_generated/claude_sonnet_4_20250514/037_class-wp-ms-sites-list-table.php,402,15.4,2,True,medium,success,
38,038_class.wp-styles.php,llm_generated/claude_sonnet_4_20250514/038_class.wp-styles.php,220,6.1,1,True,medium,success,
39,039_class-wp-upgrader-skins.php,llm_generated/claude_sonnet_4_20250514/039_class-wp-upgrader-skins.php,764,28.3,3,True,large,success,
40,040_class-wp-media-list-table.php,llm_generated/claude_sonnet_4_20250514/040_class-wp-media-list-table.php,562,18.8,1,True,large,success,
