file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes,size_category,analysis_status,error_message
1,001_getid3.lib.php,llm_generated/gemini_2_5_pro/001_getid3.lib.php,1366,45.0,4,True,extra_large,success,
2,002_module.audio-video.asf.php,llm_generated/gemini_2_5_pro/002_module.audio-video.asf.php,1949,118.5,5,True,extra_large,success,
3,003_wp-db.php,llm_generated/gemini_2_5_pro/003_wp-db.php,2052,56.6,3,True,extra_large,success,
4,004_class-IXR.php,llm_generated/gemini_2_5_pro/004_class-IXR.php,1040,32.4,5,True,extra_large,success,
5,005_class-snoopy.php,llm_generated/gemini_2_5_pro/005_class-snoopy.php,1312,39.0,2,True,extra_large,success,
6,006_widgets.php,llm_generated/gemini_2_5_pro/006_widgets.php,1569,48.6,4,True,extra_large,success,
7,007_class-wp.php,llm_generated/gemini_2_5_pro/007_class-wp.php,803,23.5,4,True,large,success,
8,008_wp-login.php,llm_generated/gemini_2_5_pro/008_wp-login.php,991,32.9,3,True,large,success,
9,009_getid3.php,llm_generated/gemini_2_5_pro/009_getid3.php,1696,60.2,0,False,extra_large,error,Syntax error; unexpected T_COALESCE_EQUAL; expecting ';'; Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected T_ELSE; Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';' (line 1111)
10,010_class-wp-theme.php,llm_generated/gemini_2_5_pro/010_class-wp-theme.php,1193,39.7,0,False,extra_large,error,Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected T_PUBLIC; Syntax error; unexpected T_PUBLIC; Syntax error; unexpected T_PUBLIC; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';' (line 297)
11,011_translations.php,llm_generated/gemini_2_5_pro/011_translations.php,339,8.9,1,True,medium,success,
12,012_module.audio-video.riff.php,llm_generated/gemini_2_5_pro/012_module.audio-video.riff.php,2437,110.7,5,True,extra_large,success,
13,013_file.php,llm_generated/gemini_2_5_pro/013_file.php,1202,45.4,3,True,extra_large,success,
14,014_module.tag.id3v2.php,llm_generated/gemini_2_5_pro/014_module.tag.id3v2.php,3381,133.8,7,True,extra_large,success,
15,015_Diff.php,llm_generated/gemini_2_5_pro/015_Diff.php,412,11.6,0,False,medium,success,
16,016_module.audio.ac3.php,llm_generated/gemini_2_5_pro/016_module.audio.ac3.php,397,14.7,2,True,medium,success,
17,017_press-this.php,llm_generated/gemini_2_5_pro/017_press-this.php,731,26.6,1,True,large,success,
18,018_streams.php,llm_generated/gemini_2_5_pro/018_streams.php,242,6.1,3,True,medium,success,
19,019_atomlib.php,llm_generated/gemini_2_5_pro/019_atomlib.php,424,13.3,4,True,medium,success,
20,020_class-ftp.php,llm_generated/gemini_2_5_pro/020_class-ftp.php,907,32.7,3,True,large,success,
21,021_class-pop3.php,llm_generated/gemini_2_5_pro/021_class-pop3.php,530,15.6,0,False,large,success,
22,022_class-wp-customize-setting.php,llm_generated/gemini_2_5_pro/022_class-wp-customize-setting.php,581,16.3,3,True,large,success,
23,023_module.tag.id3v1.php,llm_generated/gemini_2_5_pro/023_module.tag.id3v1.php,368,11.7,0,False,medium,success,
24,024_edit-form-advanced.php,llm_generated/gemini_2_5_pro/024_edit-form-advanced.php,677,29.8,3,True,large,success,
25,025_widgets.php,llm_generated/gemini_2_5_pro/025_widgets.php,480,15.7,1,True,medium,success,
26,026_Source.php,llm_generated/gemini_2_5_pro/026_Source.php,413,18.4,2,True,large,success,
27,027_upload.php,llm_generated/gemini_2_5_pro/027_upload.php,307,11.8,1,True,medium,success,
28,028_themes.php,llm_generated/gemini_2_5_pro/028_themes.php,303,10.8,1,True,medium,success,
29,029_module.audio.ogg.php,llm_generated/gemini_2_5_pro/029_module.audio.ogg.php,631,29.0,2,True,large,success,
30,030_class-json.php,llm_generated/gemini_2_5_pro/030_class-json.php,609,22.6,5,True,large,success,
31,031_class-wp-plugins-list-table.php,llm_generated/gemini_2_5_pro/031_class-wp-plugins-list-table.php,619,24.9,2,True,large,success,
32,032_class-wp-comments-list-table.php,llm_generated/gemini_2_5_pro/032_class-wp-comments-list-table.php,801,23.9,1,True,large,success,
33,033_ms-settings.php,llm_generated/gemini_2_5_pro/033_ms-settings.php,241,8.7,1,True,medium,success,
34,034_inline.php,llm_generated/gemini_2_5_pro/034_inline.php,226,6.4,0,False,medium,success,
35,035_wp-trackback.php,llm_generated/gemini_2_5_pro/035_wp-trackback.php,156,4.1,1,True,small,success,
36,036_module.tag.apetag.php,llm_generated/gemini_2_5_pro/036_module.tag.apetag.php,339,15.3,1,True,medium,success,
37,037_class-wp-ms-sites-list-table.php,llm_generated/gemini_2_5_pro/037_class-wp-ms-sites-list-table.php,407,13.9,1,True,medium,success,
38,038_class.wp-styles.php,llm_generated/gemini_2_5_pro/038_class.wp-styles.php,272,6.7,0,False,medium,success,
39,039_class-wp-upgrader-skins.php,llm_generated/gemini_2_5_pro/039_class-wp-upgrader-skins.php,752,26.9,2,True,large,success,
40,040_class-wp-media-list-table.php,llm_generated/gemini_2_5_pro/040_class-wp-media-list-table.php,666,19.8,1,True,large,success,
41,041_module.tag.lyrics3.php,llm_generated/gemini_2_5_pro/041_module.tag.lyrics3.php,279,11.3,1,True,medium,success,
42,042_image-edit.php,llm_generated/gemini_2_5_pro/042_image-edit.php,840,29.0,1,True,large,success,
43,043_image.php,llm_generated/gemini_2_5_pro/043_image.php,622,19.8,2,True,large,success,
44,044_class-wp-image-editor.php,llm_generated/gemini_2_5_pro/044_class-wp-image-editor.php,441,11.4,1,True,medium,success,
45,045_Locator.php,llm_generated/gemini_2_5_pro/045_Locator.php,346,11.5,1,True,medium,success,
46,046_module.audio-video.flv.php,llm_generated/gemini_2_5_pro/046_module.audio-video.flv.php,661,20.9,1,True,large,success,
47,047_update-core.php,llm_generated/gemini_2_5_pro/047_update-core.php,695,27.8,1,True,large,success,
48,048_about.php,llm_generated/gemini_2_5_pro/048_about.php,193,7.6,1,True,small,success,
49,049_Parser.php,llm_generated/gemini_2_5_pro/049_Parser.php,346,11.8,2,True,medium,success,
50,050_class-oembed.php,llm_generated/gemini_2_5_pro/050_class-oembed.php,576,22.8,1,True,large,success,
51,051_ms-deprecated.php,llm_generated/gemini_2_5_pro/051_ms-deprecated.php,363,9.6,1,True,medium,success,
52,052_class-wp-ms-themes-list-table.php,llm_generated/gemini_2_5_pro/052_class-wp-ms-themes-list-table.php,464,13.2,2,True,medium,success,
53,053_class-wp-themes-list-table.php,llm_generated/gemini_2_5_pro/053_class-wp-themes-list-table.php,329,10.2,1,True,medium,success,
54,054_nav-menu.php,llm_generated/gemini_2_5_pro/054_nav-menu.php,872,26.2,2,True,large,success,
55,055_rss.php,llm_generated/gemini_2_5_pro/055_rss.php,640,17.9,0,False,large,error,Syntax error; unexpected T_CONCAT_EQUAL; Syntax error; unexpected T_CONCAT_EQUAL; Syntax error; unexpected T_CONCAT_EQUAL; Syntax error; unexpected T_CONCAT_EQUAL (line 193)
56,056_class.akismet.php,llm_generated/gemini_2_5_pro/056_class.akismet.php,1040,36.5,2,True,large,success,
57,057_class-wp-customize-manager.php,llm_generated/gemini_2_5_pro/057_class-wp-customize-manager.php,1282,33.4,1,True,extra_large,success,
58,058_session.php,llm_generated/gemini_2_5_pro/058_session.php,424,10.5,1,True,medium,success,
59,059_credits.php,llm_generated/gemini_2_5_pro/059_credits.php,201,6.7,1,True,small,success,
60,060_themes.php,llm_generated/gemini_2_5_pro/060_themes.php,391,16.4,1,True,medium,success,
61,061_class.wp-scripts.php,llm_generated/gemini_2_5_pro/061_class.wp-scripts.php,284,7.0,2,True,medium,success,
62,062_string.php,llm_generated/gemini_2_5_pro/062_string.php,261,9.6,0,False,medium,success,
63,063_module.audio.dts.php,llm_generated/gemini_2_5_pro/063_module.audio.dts.php,234,10.0,0,False,medium,success,
64,064_wp-diff.php,llm_generated/gemini_2_5_pro/064_wp-diff.php,517,16.2,1,True,large,success,
65,065_class-wp-image-editor-imagick.php,llm_generated/gemini_2_5_pro/065_class-wp-image-editor-imagick.php,484,13.5,3,True,large,success,
66,066_class.wp-dependencies.php,llm_generated/gemini_2_5_pro/066_class.wp-dependencies.php,460,14.6,0,False,large,success,
67,067_user.php,llm_generated/gemini_2_5_pro/067_user.php,476,15.1,0,False,medium,success,
68,068_revision.php,llm_generated/gemini_2_5_pro/068_revision.php,713,19.0,1,True,large,success,
69,069_class-wp-image-editor-gd.php,llm_generated/gemini_2_5_pro/069_class-wp-image-editor-gd.php,472,12.6,1,True,medium,success,
70,070_File.php,llm_generated/gemini_2_5_pro/070_File.php,276,9.2,1,True,medium,success,
71,071_plugins.php,llm_generated/gemini_2_5_pro/071_plugins.php,500,19.8,1,True,medium,success,
72,072_class-wp-users-list-table.php,llm_generated/gemini_2_5_pro/072_class-wp-users-list-table.php,477,13.6,0,False,medium,success,
73,073_site-settings.php,llm_generated/gemini_2_5_pro/073_site-settings.php,204,7.6,0,False,small,success,
74,074_site-themes.php,llm_generated/gemini_2_5_pro/074_site-themes.php,195,7.0,0,False,small,success,
75,075_my-sites.php,llm_generated/gemini_2_5_pro/075_my-sites.php,141,4.4,0,False,small,success,
76,076_upgrade.php,llm_generated/gemini_2_5_pro/076_upgrade.php,147,4.8,0,False,small,success,
77,077_post-thumbnail-template.php,llm_generated/gemini_2_5_pro/077_post-thumbnail-template.php,148,4.2,0,False,small,success,
78,078_media.php,llm_generated/gemini_2_5_pro/078_media.php,155,5.4,1,True,small,success,
79,079_load-styles.php,llm_generated/gemini_2_5_pro/079_load-styles.php,130,4.3,1,True,small,success,
80,080_site-info.php,llm_generated/gemini_2_5_pro/080_site-info.php,211,8.0,1,True,small,success,
81,081_site-new.php,llm_generated/gemini_2_5_pro/081_site-new.php,200,7.1,1,True,small,success,
82,082_import.php,llm_generated/gemini_2_5_pro/082_import.php,157,5.8,1,True,small,success,
83,083_shell.php,llm_generated/gemini_2_5_pro/083_shell.php,186,6.0,0,False,small,success,
84,084_class-wp-ajax-response.php,llm_generated/gemini_2_5_pro/084_class-wp-ajax-response.php,213,5.5,1,True,small,success,
85,085_async-upload.php,llm_generated/gemini_2_5_pro/085_async-upload.php,155,5.0,0,False,small,success,
86,086_user-new.php,llm_generated/gemini_2_5_pro/086_user-new.php,130,4.8,1,True,small,success,
87,087_Restriction.php,llm_generated/gemini_2_5_pro/087_Restriction.php,119,4.0,1,True,small,success,
88,088_Credit.php,llm_generated/gemini_2_5_pro/088_Credit.php,113,3.3,1,True,small,success,
89,089_Category.php,llm_generated/gemini_2_5_pro/089_Category.php,119,3.7,1,True,small,success,
90,090_Author.php,llm_generated/gemini_2_5_pro/090_Author.php,115,3.7,1,True,small,success,
91,091_Rating.php,llm_generated/gemini_2_5_pro/091_Rating.php,98,3.3,1,True,small,success,
92,092_Copyright.php,llm_generated/gemini_2_5_pro/092_Copyright.php,104,3.3,1,True,small,success,
93,093_vars.php,llm_generated/gemini_2_5_pro/093_vars.php,178,5.2,1,True,small,success,
94,094_class.akismet-widget.php,llm_generated/gemini_2_5_pro/094_class.akismet-widget.php,130,3.5,1,True,small,success,
95,095_class-wp-http-ixr-client.php,llm_generated/gemini_2_5_pro/095_class-wp-http-ixr-client.php,147,4.1,1,True,small,success,
96,096_class-ftp-pure.php,llm_generated/gemini_2_5_pro/096_class-ftp-pure.php,319,9.6,1,True,small,success,
97,097_class-wp-customize-section.php,llm_generated/gemini_2_5_pro/097_class-wp-customize-section.php,186,5.1,0,False,small,success,
98,098_wp-load.php,llm_generated/gemini_2_5_pro/098_wp-load.php,77,2.7,1,True,small,success,
99,099_ms-files.php,llm_generated/gemini_2_5_pro/099_ms-files.php,115,3.6,1,True,small,success,
100,100_wp-links-opml.php,llm_generated/gemini_2_5_pro/100_wp-links-opml.php,98,2.9,1,True,small,success,
