file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes,size_category,analysis_status,error_message
1,001_getid3.lib.php,llm_generated/meta_llama_llama_3_3_70b_instruct/001_getid3.lib.php,1327,44.0,11,True,extra_large,success,
2,002_module.audio-video.asf.php,llm_generated/meta_llama_llama_3_3_70b_instruct/002_module.audio-video.asf.php,2062,140.9,11,True,extra_large,success,
3,003_wp-db.php,llm_generated/meta_llama_llama_3_3_70b_instruct/003_wp-db.php,2175,63.1,10,True,extra_large,success,
4,004_class-IXR.php,llm_generated/meta_llama_llama_3_3_70b_instruct/004_class-IXR.php,1031,32.7,7,True,extra_large,success,
5,005_class-snoopy.php,llm_generated/meta_llama_llama_3_3_70b_instruct/005_class-snoopy.php,1223,38.0,0,False,extra_large,error,Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected '}'; expecting T_ENDIF (line 1138)
6,006_widgets.php,llm_generated/meta_llama_llama_3_3_70b_instruct/006_widgets.php,1515,49.5,10,True,extra_large,success,
7,007_class-wp.php,llm_generated/meta_llama_llama_3_3_70b_instruct/007_class-wp.php,797,23.4,7,True,large,success,
8,008_wp-login.php,llm_generated/meta_llama_llama_3_3_70b_instruct/008_wp-login.php,1032,40.1,7,True,large,success,
9,009_getid3.php,llm_generated/meta_llama_llama_3_3_70b_instruct/009_getid3.php,1764,66.7,8,True,extra_large,success,
10,010_class-wp-theme.php,llm_generated/meta_llama_llama_3_3_70b_instruct/010_class-wp-theme.php,1209,39.8,7,True,extra_large,success,
11,011_translations.php,llm_generated/meta_llama_llama_3_3_70b_instruct/011_translations.php,308,10.5,3,True,medium,success,
12,012_module.audio-video.riff.php,llm_generated/meta_llama_llama_3_3_70b_instruct/012_module.audio-video.riff.php,1760,93.1,8,True,extra_large,success,
13,013_file.php,llm_generated/meta_llama_llama_3_3_70b_instruct/013_file.php,1207,45.0,7,True,extra_large,success,
14,014_module.tag.id3v2.php,llm_generated/meta_llama_llama_3_3_70b_instruct/014_module.tag.id3v2.php,3393,149.6,0,False,extra_large,error,Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected T_FOREACH; Syntax error; unexpected '}'; expecting EOF (line 3343)
15,015_Diff.php,llm_generated/meta_llama_llama_3_3_70b_instruct/015_Diff.php,445,12.1,4,True,medium,success,
16,016_module.audio.ac3.php,llm_generated/meta_llama_llama_3_3_70b_instruct/016_module.audio.ac3.php,408,16.6,4,True,medium,success,
17,017_press-this.php,llm_generated/meta_llama_llama_3_3_70b_instruct/017_press-this.php,711,32.2,6,True,large,success,
18,018_streams.php,llm_generated/meta_llama_llama_3_3_70b_instruct/018_streams.php,247,6.8,1,True,medium,success,
19,019_atomlib.php,llm_generated/meta_llama_llama_3_3_70b_instruct/019_atomlib.php,347,11.3,4,True,medium,success,
20,020_class-ftp.php,llm_generated/meta_llama_llama_3_3_70b_instruct/020_class-ftp.php,1178,37.6,4,True,large,success,
21,021_class-pop3.php,llm_generated/meta_llama_llama_3_3_70b_instruct/021_class-pop3.php,585,20.3,4,True,large,success,
22,022_class-wp-customize-setting.php,llm_generated/meta_llama_llama_3_3_70b_instruct/022_class-wp-customize-setting.php,575,17.1,5,True,large,success,
23,023_module.tag.id3v1.php,llm_generated/meta_llama_llama_3_3_70b_instruct/023_module.tag.id3v1.php,343,12.5,3,True,medium,success,
24,024_edit-form-advanced.php,llm_generated/meta_llama_llama_3_3_70b_instruct/024_edit-form-advanced.php,655,34.1,5,True,large,success,
25,025_widgets.php,llm_generated/meta_llama_llama_3_3_70b_instruct/025_widgets.php,459,18.8,5,True,medium,success,
26,026_Source.php,llm_generated/meta_llama_llama_3_3_70b_instruct/026_Source.php,435,22.2,3,True,large,success,
27,027_upload.php,llm_generated/meta_llama_llama_3_3_70b_instruct/027_upload.php,292,12.8,4,True,medium,success,
28,028_themes.php,llm_generated/meta_llama_llama_3_3_70b_instruct/028_themes.php,278,12.4,3,True,medium,success,
29,029_module.audio.ogg.php,llm_generated/meta_llama_llama_3_3_70b_instruct/029_module.audio.ogg.php,665,35.4,6,True,large,success,
30,030_class-json.php,llm_generated/meta_llama_llama_3_3_70b_instruct/030_class-json.php,506,20.0,0,False,large,error,Syntax error; unexpected T_BOOLEAN_AND; Syntax error; unexpected ';'; Syntax error; unexpected '}'; expecting EOF (line 428)
31,031_class-wp-plugins-list-table.php,llm_generated/meta_llama_llama_3_3_70b_instruct/031_class-wp-plugins-list-table.php,510,21.2,4,True,large,success,
32,032_class-wp-comments-list-table.php,llm_generated/meta_llama_llama_3_3_70b_instruct/032_class-wp-comments-list-table.php,638,25.3,4,True,large,success,
33,033_ms-settings.php,llm_generated/meta_llama_llama_3_3_70b_instruct/033_ms-settings.php,213,9.2,5,True,medium,success,
34,034_inline.php,llm_generated/meta_llama_llama_3_3_70b_instruct/034_inline.php,208,5.9,2,True,medium,success,
35,035_wp-trackback.php,llm_generated/meta_llama_llama_3_3_70b_instruct/035_wp-trackback.php,133,4.1,3,True,small,success,
36,036_module.tag.apetag.php,llm_generated/meta_llama_llama_3_3_70b_instruct/036_module.tag.apetag.php,374,19.4,4,True,medium,success,
37,037_class-wp-ms-sites-list-table.php,llm_generated/meta_llama_llama_3_3_70b_instruct/037_class-wp-ms-sites-list-table.php,423,15.6,3,True,medium,success,
38,038_class.wp-styles.php,llm_generated/meta_llama_llama_3_3_70b_instruct/038_class.wp-styles.php,221,6.8,2,True,medium,success,
39,039_class-wp-upgrader-skins.php,llm_generated/meta_llama_llama_3_3_70b_instruct/039_class-wp-upgrader-skins.php,854,32.4,3,True,large,success,
