file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes
1,001_class-pclzip.php,wordpress_4.0/wp-admin\includes\class-pclzip.php,5687,191.0,7,True
2,002_post.php,wordpress_4.0/wp-includes\post.php,5840,184.3,9,True
3,003_class-wp-xmlrpc-server.php,wordpress_4.0/wp-includes\class-wp-xmlrpc-server.php,5982,177.0,6,True
4,004_functions.php,wordpress_4.0/wp-includes\functions.php,4630,139.1,9,True
5,005_module.tag.id3v2.php,wordpress_4.0/wp-includes\ID3\module.tag.id3v2.php,3414,131.0,9,True
6,006_formatting.php,wordpress_4.0/wp-includes\formatting.php,3994,128.5,8,True
7,007_taxonomy.php,wordpress_4.0/wp-includes\taxonomy.php,4002,128.5,6,True
8,008_query.php,wordpress_4.0/wp-includes\query.php,4659,127.5,7,True
9,009_module.audio-video.asf.php,wordpress_4.0/wp-includes\ID3\module.audio-video.asf.php,2019,126.1,12,True
10,010_module.audio-video.quicktime.php,wordpress_4.0/wp-includes\ID3\module.audio-video.quicktime.php,2221,113.2,5,True
11,011_media.php,wordpress_4.0/wp-includes\media.php,3319,110.7,6,True
12,012_module.audio-video.riff.php,wordpress_4.0/wp-includes\ID3\module.audio-video.riff.php,2435,108.6,9,True
13,013_class-phpmailer.php,wordpress_4.0/wp-includes\class-phpmailer.php,3265,108.3,8,True
14,014_module.audio-video.matroska.php,wordpress_4.0/wp-includes\ID3\module.audio-video.matroska.php,1765,102.1,5,True
15,015_deprecated.php,wordpress_4.0/wp-includes\deprecated.php,3501,97.4,7,True
16,016_module.audio.mp3.php,wordpress_4.0/wp-includes\ID3\module.audio.mp3.php,2009,97.2,7,True
17,017_general-template.php,wordpress_4.0/wp-includes\general-template.php,2982,96.8,5,True
18,018_Item.php,wordpress_4.0/wp-includes\SimplePie\Item.php,2964,96.0,7,True
19,019_media.php,wordpress_4.0/wp-admin\includes\media.php,2988,95.0,6,True
20,020_link-template.php,wordpress_4.0/wp-includes\link-template.php,3139,93.4,6,True
21,021_class-wp-upgrader.php,wordpress_4.0/wp-admin\includes\class-wp-upgrader.php,2676,91.8,8,True
22,022_class-simplepie.php,wordpress_4.0/wp-includes\class-simplepie.php,3119,88.3,10,True
23,023_comment.php,wordpress_4.0/wp-includes\comment.php,2561,79.1,7,True
24,024_ms-functions.php,wordpress_4.0/wp-includes\ms-functions.php,2474,76.7,6,True
25,025_template.php,wordpress_4.0/wp-admin\includes\template.php,2157,75.7,4,True
26,026_comment-template.php,wordpress_4.0/wp-includes\comment-template.php,2264,75.6,3,True
27,027_ajax-actions.php,wordpress_4.0/wp-admin\includes\ajax-actions.php,2761,75.2,7,True
28,028_pluggable.php,wordpress_4.0/wp-includes\pluggable.php,2277,72.6,8,True
29,029_class-http.php,wordpress_4.0/wp-includes\class-http.php,2173,69.9,8,True
30,030_upgrade.php,wordpress_4.0/wp-admin\includes\upgrade.php,2216,69.6,4,True
31,031_user.php,wordpress_4.0/wp-includes\user.php,2247,69.4,6,True
32,032_plugin.php,wordpress_4.0/wp-admin\includes\plugin.php,1878,64.3,5,True
33,033_rewrite.php,wordpress_4.0/wp-includes\rewrite.php,2180,64.2,8,True
34,034_getid3.php,wordpress_4.0/wp-includes\ID3\getid3.php,1776,61.2,8,True
