file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes
1,001_getid3.lib.php,wordpress_4.0/wp-includes\ID3\getid3.lib.php,1342,42.5,12,True
2,002_module.audio-video.asf.php,wordpress_4.0/wp-includes\ID3\module.audio-video.asf.php,2019,126.1,12,True
3,003_wp-db.php,wordpress_4.0/wp-includes\wp-db.php,2186,59.3,12,True
4,004_class-IXR.php,wordpress_4.0/wp-includes\class-IXR.php,1100,32.1,10,True
5,005_class-snoopy.php,wordpress_4.0/wp-includes\class-snoopy.php,1256,36.9,5,True
6,006_widgets.php,wordpress_4.0/wp-includes\widgets.php,1514,46.6,10,True
7,007_class-wp.php,wordpress_4.0/wp-includes\class-wp.php,782,22.8,9,True
8,008_wp-login.php,wordpress_4.0/wp-login.php,952,32.3,8,True
9,009_getid3.php,wordpress_4.0/wp-includes\ID3\getid3.php,1776,61.2,8,True
10,010_class-wp-theme.php,wordpress_4.0/wp-includes\class-wp-theme.php,1235,38.5,8,True
11,011_translations.php,wordpress_4.0/wp-includes\pomo\translations.php,275,7.4,8,True
12,012_module.audio-video.riff.php,wordpress_4.0/wp-includes\ID3\module.audio-video.riff.php,2435,108.6,9,True
13,013_file.php,wordpress_4.0/wp-admin\includes\file.php,1150,44.1,8,True
14,014_module.tag.id3v2.php,wordpress_4.0/wp-includes\ID3\module.tag.id3v2.php,3414,131.0,9,True
15,015_Diff.php,wordpress_4.0/wp-includes\Text\Diff.php,450,11.7,8,True
16,016_module.audio.ac3.php,wordpress_4.0/wp-includes\ID3\module.audio.ac3.php,473,18.5,7,True
17,017_press-this.php,wordpress_4.0/wp-admin\press-this.php,691,26.1,7,True
18,018_streams.php,wordpress_4.0/wp-includes\pomo\streams.php,209,4.4,7,True
19,019_atomlib.php,wordpress_4.0/wp-includes\atomlib.php,352,10.7,8,True
20,020_class-ftp.php,wordpress_4.0/wp-admin\includes\class-ftp.php,907,26.2,7,True
21,021_class-pop3.php,wordpress_4.0/wp-includes\class-pop3.php,652,20.3,7,True
22,022_class-wp-customize-setting.php,wordpress_4.0/wp-includes\class-wp-customize-setting.php,554,14.0,6,True
23,023_module.tag.id3v1.php,wordpress_4.0/wp-includes\ID3\module.tag.id3v1.php,359,11.3,6,True
24,024_edit-form-advanced.php,wordpress_4.0/wp-admin\edit-form-advanced.php,636,28.7,6,True
25,025_widgets.php,wordpress_4.0/wp-admin\widgets.php,442,15.3,6,True
26,026_Source.php,wordpress_4.0/wp-includes\SimplePie\Source.php,611,20.1,6,True
27,027_upload.php,wordpress_4.0/wp-admin\upload.php,292,11.7,6,True
28,028_themes.php,wordpress_4.0/wp-admin\network\themes.php,266,10.7,6,True
29,029_module.audio.ogg.php,wordpress_4.0/wp-includes\ID3\module.audio.ogg.php,671,29.9,6,True
30,030_class-json.php,wordpress_4.0/wp-includes\class-json.php,936,38.8,6,True
31,031_class-wp-plugins-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-plugins-list-table.php,605,23.5,6,True
32,032_class-wp-comments-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-comments-list-table.php,636,22.0,6,True
33,033_ms-settings.php,wordpress_4.0/wp-includes\ms-settings.php,213,8.3,6,True
34,034_inline.php,wordpress_4.0/wp-includes\Text\Diff\Renderer\inline.php,206,5.4,6,True
35,035_wp-trackback.php,wordpress_4.0/wp-trackback.php,127,3.9,5,True
36,036_module.tag.apetag.php,wordpress_4.0/wp-includes\ID3\module.tag.apetag.php,370,15.7,5,True
37,037_class-wp-ms-sites-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-ms-sites-list-table.php,402,15.0,5,True
38,038_class.wp-styles.php,wordpress_4.0/wp-includes\class.wp-styles.php,210,5.6,5,True
39,039_class-wp-upgrader-skins.php,wordpress_4.0/wp-admin\includes\class-wp-upgrader-skins.php,767,27.9,5,True
40,040_class-wp-media-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-media-list-table.php,564,18.3,5,True
41,041_module.tag.lyrics3.php,wordpress_4.0/wp-includes\ID3\module.tag.lyrics3.php,294,10.8,5,True
42,042_image-edit.php,wordpress_4.0/wp-admin\includes\image-edit.php,828,28.8,5,True
