file_id,filename,original_path,lines_of_code,php_version_changes,has_version_changes,selection_score,size_category
1,001_getid3.lib.php,"wordpress_4.0/wp-includes\ID3\getid3.lib.php",1342,12,True,297.0,extra_large
2,002_module.audio-video.asf.php,"wordpress_4.0/wp-includes\ID3\module.audio-video.asf.php",2019,12,True,268.8,extra_large
3,003_wp-db.php,"wordpress_4.0/wp-includes\wp-db.php",2186,12,True,262.1,extra_large
4,004_class-IXR.php,"wordpress_4.0/wp-includes\class-IXR.php",1100,10,True,260.0,extra_large
5,005_class-snoopy.php,"wordpress_4.0/wp-includes\class-snoopy.php",1256,5,True,250.0,extra_large
6,006_widgets.php,"wordpress_4.0/wp-includes\widgets.php",1514,10,True,238.0,extra_large
7,007_class-wp.php,"wordpress_4.0/wp-includes\class-wp.php",782,9,True,229.0,large
8,008_wp-login.php,"wordpress_4.0/wp-login.php",952,8,True,221.0,large
9,009_getid3.php,"wordpress_4.0/wp-includes\ID3\getid3.php",1776,8,True,221.0,extra_large
10,010_class-wp-theme.php,"wordpress_4.0/wp-includes\class-wp-theme.php",1235,8,True,218.0,extra_large
11,011_translations.php,"wordpress_4.0/wp-includes\pomo\translations.php",275,8,True,217.0,medium
12,012_module.audio-video.riff.php,"wordpress_4.0/wp-includes\ID3\module.audio-video.riff.php",2435,9,True,215.7,extra_large
13,013_file.php,"wordpress_4.0/wp-admin\includes\file.php",1150,8,True,213.0,extra_large
14,014_module.tag.id3v2.php,"wordpress_4.0/wp-includes\ID3\module.tag.id3v2.php",3414,9,True,211.9,extra_large
15,015_Diff.php,"wordpress_4.0/wp-includes\Text\Diff.php",450,8,True,209.0,medium
16,016_module.audio.ac3.php,"wordpress_4.0/wp-includes\ID3\module.audio.ac3.php",473,7,True,202.0,medium
17,017_press-this.php,"wordpress_4.0/wp-admin\press-this.php",691,7,True,198.0,large
18,018_streams.php,"wordpress_4.0/wp-includes\pomo\streams.php",209,7,True,195.0,medium
19,019_atomlib.php,"wordpress_4.0/wp-includes\atomlib.php",352,8,True,193.0,medium
20,020_class-ftp.php,"wordpress_4.0/wp-admin\includes\class-ftp.php",907,7,True,192.0,large
21,021_class-pop3.php,"wordpress_4.0/wp-includes\class-pop3.php",652,7,True,192.0,large
22,022_class-wp-customize-setting.php,"wordpress_4.0/wp-includes\class-wp-customize-setting.php",554,6,True,182.0,large
23,023_module.tag.id3v1.php,"wordpress_4.0/wp-includes\ID3\module.tag.id3v1.php",359,6,True,179.0,medium
24,024_edit-form-advanced.php,"wordpress_4.0/wp-admin\edit-form-advanced.php",636,6,True,177.0,large
25,025_widgets.php,"wordpress_4.0/wp-admin\widgets.php",442,6,True,175.0,medium
26,026_Source.php,"wordpress_4.0/wp-includes\SimplePie\Source.php",611,6,True,172.0,large
27,027_upload.php,"wordpress_4.0/wp-admin\upload.php",292,6,True,169.0,medium
28,028_themes.php,"wordpress_4.0/wp-admin\network\themes.php",266,6,True,169.0,medium
29,029_module.audio.ogg.php,"wordpress_4.0/wp-includes\ID3\module.audio.ogg.php",671,6,True,169.0,large
30,030_class-json.php,"wordpress_4.0/wp-includes\class-json.php",936,6,True,165.0,large
31,031_class-wp-plugins-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-plugins-list-table.php",605,6,True,163.0,large
32,032_class-wp-comments-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-comments-list-table.php",636,6,True,163.0,large
33,033_ms-settings.php,"wordpress_4.0/wp-includes\ms-settings.php",213,6,True,161.0,medium
34,034_inline.php,"wordpress_4.0/wp-includes\Text\Diff\Renderer\inline.php",206,6,True,161.0,medium
35,035_wp-trackback.php,"wordpress_4.0/wp-trackback.php",127,5,True,154.0,small
36,036_module.tag.apetag.php,"wordpress_4.0/wp-includes\ID3\module.tag.apetag.php",370,5,True,154.0,medium
